epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3969,1.76495,3.28795,1.75943,0.0051,1,0.4975,0.45618,0.30945,3.27133,0.96598,0,0,0
2,19.3119,1.93573,3.31086,2.19597,0.00511,1,0.74625,0.68285,0.31022,3.26911,0.96424,1.6505e-05,1.6505e-05,1.6505e-05
3,20.9865,1.71832,3.26479,1.93683,0.00526,1,0.74625,0.68285,0.31735,3.25753,0.96494,3.26799e-05,3.26799e-05,3.26799e-05
4,22.9126,1.7085,2.99222,1.6991,0.00529,1,0.995,0.91231,0.33866,3.25935,0.96931,4.85247e-05,4.85247e-05,4.85247e-05
5,24.457,1.96912,3.33889,2.19313,0.00542,1,0.995,0.91231,0.40755,3.26067,0.98109,6.40395e-05,6.40395e-05,6.40395e-05
6,25.7077,1.67091,2.91735,1.81089,0.00575,1,0.995,0.8955,0.55403,3.26897,1.02395,7.92242e-05,7.92242e-05,7.92242e-05
7,26.8942,1.50149,3.09751,1.78422,0.00611,1,0.995,0.796,0.72984,3.30743,1.05245,9.40788e-05,9.40788e-05,9.40788e-05
8,28.378,1.61846,2.85505,1.7298,0.00674,1,0.995,0.73007,0.89959,3.33736,1.11916,0.000108603,0.000108603,0.000108603
9,29.6551,1.30375,2.66365,1.54623,0.00693,1,0.995,0.6965,1.04543,3.36722,1.20188,0.000122798,0.000122798,0.000122798
10,30.972,1.41717,2.48369,1.59302,0.00677,1,0.995,0.63057,1.1749,3.34664,1.24837,0.000136662,0.000136662,0.000136662
11,32.5039,1.27306,2.18013,1.39378,0.00682,1,0.995,0.597,1.31771,3.35089,1.31897,0.000150197,0.000150197,0.000150197
12,34.2244,1.29149,1.90436,1.44528,0.00679,1,0.995,0.597,1.38052,3.30639,1.36987,0.000163401,0.000163401,0.000163401
13,35.894,1.14812,1.95113,1.29069,0.00674,1,0.995,0.597,1.44559,3.07091,1.42202,0.000176275,0.000176275,0.000176275
14,37.7238,1.14945,1.58689,1.29319,0.00674,1,0.995,0.60824,1.37399,2.8881,1.38357,0.000188819,0.000188819,0.000188819
15,40.2543,0.96027,1.5096,1.28987,0.00656,1,0.995,0.66381,1.24212,2.78602,1.32037,0.000201034,0.000201034,0.000201034
16,41.9725,1.22257,1.54515,1.38153,0.00659,1,0.995,0.70774,1.19087,2.75381,1.28875,0.000212918,0.000212918,0.000212918
17,45.0065,1.61763,1.71018,1.73511,0.75181,1,0.995,0.70774,1.18369,2.76972,1.2766,0.000224472,0.000224472,0.000224472
18,46.7776,1.50541,1.65973,1.63319,0.75181,1,0.995,0.70774,1.18369,2.76972,1.2766,0.000235695,0.000235695,0.000235695
19,48.9823,1.2306,1.47255,1.43678,0.00699,1,0.995,0.70774,1.29202,2.80827,1.31087,0.000246589,0.000246589,0.000246589
20,50.6882,1.09322,1.33903,1.26881,0.00699,1,0.995,0.70774,1.29202,2.80827,1.31087,0.000257153,0.000257153,0.000257153
21,52.3468,1.57564,1.74422,1.76709,0.00693,1,0.995,0.60824,1.36469,2.84614,1.33351,0.000267387,0.000267387,0.000267387
22,53.8257,1.10792,1.45091,1.29208,0.00693,1,0.995,0.60824,1.36469,2.84614,1.33351,0.00027729,0.00027729,0.00027729
23,55.589,1.17041,1.40239,1.33721,0.00685,1,0.995,0.60824,1.41856,3.01274,1.43827,0.000286864,0.000286864,0.000286864
24,57.2274,1.0478,1.42495,1.31629,0.00685,1,0.995,0.60824,1.41856,3.01274,1.43827,0.000296108,0.000296108,0.000296108
