epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3623,1.50982,2.55257,1.79741,0.00779,1,0.995,0.50875,1.46357,3.15071,1.47443,0.00026672,0.00026672,0.00026672
2,30.8287,1.32466,1.67294,1.62736,0.88288,1,0.995,0.53111,1.82976,2.54682,1.68763,0.000544664,0.000544664,0.000544664
3,47.3951,1.27858,1.46584,1.54289,0.1667,1,0.17559,0.06223,1.55965,4.10938,2.11059,0.000816997,0.000816997,0.000816997
4,64.6031,1.28007,1.44514,1.56038,0.45888,1,0.665,0.4662,1.18102,2.79219,1.27419,0.00108372,0.00108372,0.00108372
5,80.2429,1.26337,1.36919,1.51785,0.97396,1,0.995,0.54766,1.77822,1.58143,1.94141,0.00134483,0.00134483,0.00134483
6,100.341,1.30796,1.3829,1.57945,0.98573,1,0.995,0.597,1.76164,1.60798,1.77761,0.00158448,0.00158448,0.00158448
7,117.419,1.28068,1.28926,1.54269,0.97202,1,0.995,0.68613,1.14165,2.94942,1.33284,0.00156798,0.00156798,0.00156798
8,134.547,1.17053,1.18951,1.4781,0.72876,1,0.83,0.4029,2.01607,2.23112,1.76327,0.00155148,0.00155148,0.00155148
9,151.315,1.22713,1.14516,1.53498,0.94223,1,0.995,0.50878,2.29416,1.93442,2.27795,0.00153497,0.00153497,0.00153497
10,164.665,1.24838,1.15555,1.51189,0.9763,1,0.995,0.6306,1.53419,1.06162,1.51295,0.00151847,0.00151847,0.00151847
11,178.661,1.13536,0.99127,1.43783,0.97354,1,0.995,0.73012,0.94354,1.10734,1.15363,0.00150197,0.00150197,0.00150197
12,193.632,1.21064,1.00803,1.51083,0.98273,1,0.995,0.80724,0.8702,1.31071,1.09577,0.00148546,0.00148546,0.00148546
13,210.299,1.13942,0.96684,1.42847,0.98232,1,0.995,0.77457,0.71682,0.73749,1.06311,0.00146896,0.00146896,0.00146896
14,226.562,1.13881,0.98299,1.42848,0.98506,1,0.995,0.76368,1.04881,0.80083,1.21798,0.00145246,0.00145246,0.00145246
15,242.605,1.19144,0.99591,1.47778,0.98455,1,0.995,0.33216,2.51795,1.00004,3.00284,0.00143595,0.00143595,0.00143595
16,258.562,1.08033,0.91709,1.39309,0.32867,0.33333,0.34078,0.06816,3.76902,1.67348,5.37687,0.00141945,0.00141945,0.00141945
17,273.947,1.04506,0.85098,1.34833,0.98401,1,0.995,0.19974,3.13329,1.09518,3.9704,0.00140295,0.00140295,0.00140295
18,288.798,1.04474,0.81736,1.35252,0.98507,1,0.995,0.42048,2.15509,0.78302,2.71383,0.00138644,0.00138644,0.00138644
19,298.648,1.12572,0.86619,1.45372,0.98277,1,0.995,0.6636,1.64232,0.87975,1.63422,0.00136994,0.00136994,0.00136994
20,308.813,1.08755,0.8644,1.40551,0.97938,1,0.995,0.61969,1.50249,0.60461,1.48337,0.00135344,0.00135344,0.00135344
21,321.181,1.05695,0.83993,1.39521,0.98415,1,0.995,0.64147,1.38744,0.55254,1.32172,0.00133693,0.00133693,0.00133693
22,332.717,1.02842,0.81817,1.34994,0.98563,1,0.995,0.796,0.85351,0.47945,1.09848,0.00132043,0.00132043,0.00132043
23,344.426,1.05358,0.81943,1.37838,0.98243,1,0.995,0.8955,0.50004,0.50449,0.97512,0.00130393,0.00130393,0.00130393
24,355.77,1.0249,0.7996,1.31755,0.97685,1,0.995,0.796,0.93641,0.56783,1.10654,0.00128742,0.00128742,0.00128742
25,367.646,0.98379,0.7751,1.3192,0.9841,1,0.995,0.60853,1.48605,0.52333,1.51702,0.00127092,0.00127092,0.00127092
26,379.574,0.97706,0.72565,1.32087,0.98419,1,0.995,0.61397,1.45459,0.53734,1.48595,0.00125442,0.00125442,0.00125442
27,391.745,0.99084,0.73265,1.33102,0.98419,1,0.995,0.398,2.40443,0.73441,2.68102,0.00123791,0.00123791,0.00123791
28,404.192,1.12719,0.79389,1.39864,0.98394,1,0.995,0.8955,0.55778,0.42456,1.01739,0.00122141,0.00122141,0.00122141
29,417.245,0.99956,0.74627,1.32424,0.98463,1,0.995,0.6965,1.37575,0.49499,1.33592,0.00120491,0.00120491,0.00120491
30,429.768,1.03859,0.78678,1.3574,0.98324,1,0.995,0.73031,1.25732,0.4586,1.28956,0.0011884,0.0011884,0.0011884
31,439.424,1.02991,0.72978,1.34709,0.98381,1,0.995,0.76328,1.02494,0.47065,1.13255,0.0011719,0.0011719,0.0011719
32,451.033,0.98718,0.72327,1.32392,0.98398,1,0.995,0.796,1.01729,0.44094,1.12348,0.0011554,0.0011554,0.0011554
